time: 8.586247444152832, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 387, Controller Size: 316
time: 8.586300373077393, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 387, Controller Size: 316
time: 8.591198444366455, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 387, Controller Size: 316
time: 8.715269327163696, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 391, Controller Size: 322
time: 8.71528434753418, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 391, Controller Size: 322
time: 8.720437288284302, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 391, Controller Size: 322
time: 8.858059406280518, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 396, Controller Size: 328
time: 8.858075380325317, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 396, Controller Size: 328
time: 8.863391637802124, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 396, Controller Size: 328
time: 8.999541521072388, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 401, Controller Size: 334
time: 8.999557495117188, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 401, Controller Size: 334
time: 9.004567623138428, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 401, Controller Size: 334
time: 9.143234491348267, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 407, Controller Size: 340
time: 9.143252611160278, root_diff: 0.49999999999999994, V_lower: 0.3333333333333333, V_upper: 0.8333333333333333, Belief Size: 407, Controller Size: 340
time: 9.148376703262329, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 407, Controller Size: 340
time: 9.250529766082764, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 410, Controller Size: 346
time: 9.250553607940674, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 410, Controller Size: 346
time: 9.255691528320312, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 410, Controller Size: 346
time: 9.908539533615112, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 415, Controller Size: 352
time: 9.908589601516724, root_diff: 0.4583333333333332, V_lower: 0.3333333333333333, V_upper: 0.7916666666666665, Belief Size: 415, Controller Size: 352
